Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.01
Sample Interval,4e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.9056e-03,1.44,1.24,,-4.7640e-02,0.68
-1.9052e-03,1.4,1.28,,-4.7630e-02,0.72
-1.9048e-03,1.44,1.24,,-4.7620e-02,0.68
-1.9044e-03,1.4,1.28,,-4.7610e-02,0.72
-1.9040e-03,1.52,1.28,,-4.7600e-02,0.68
-1.9036e-03,1.4,1.36,,-4.7590e-02,0.66
-1.9032e-03,1.44,1.28,,-4.7580e-02,0.64
-1.9028e-03,1.44,1.32,,-4.7570e-02,0.68
-1.9024e-03,1.44,1.28,,-4.7560e-02,0.68
-1.9020e-03,1.4,1.28,,-4.7550e-02,0.7
-1.9016e-03,1.4,1.24,,-4.7540e-02,0.66
-1.9012e-03,1.4,1.24,,-4.7530e-02,0.7
-1.9008e-03,1.4,1.28,,-4.7520e-02,0.68
-1.9004e-03,1.4,1.32,,-4.7510e-02,0.7
-1.9000e-03,1.36,1.24,,-4.7500e-02,0.7
-1.8996e-03,1.4,1.24,,-4.7490e-02,0.66
-1.8992e-03,1.48,1.24,,-4.7480e-02,0.66
-1.8988e-03,1.4,1.32,,-4.7470e-02,0.66
-1.8984e-03,1.44,1.28,,-4.7460e-02,0.66
-1.8980e-03,1.4,1.24,,-4.7450e-02,0.7
-1.8976e-03,1.36,1.28,,-4.7440e-02,0.64
-1.8972e-03,1.36,1.24,,-4.7430e-02,0.68
-1.8968e-03,1.44,1.32,,-4.7420e-02,0.7
-1.8964e-03,1.36,1.24,,-4.7410e-02,0.66
-1.8960e-03,1.44,1.24,,-4.7400e-02,0.68
-1.8956e-03,1.4,1.28,,-4.7390e-02,0.66
-1.8952e-03,1.4,1.32,,-4.7380e-02,0.64
-1.8948e-03,1.44,1.32,,-4.7370e-02,0.68
-1.8944e-03,1.4,1.24,,-4.7360e-02,0.68
-1.8940e-03,1.36,1.24,,-4.7350e-02,0.66
-1.8936e-03,1.44,1.28,,-4.7340e-02,0.7
-1.8932e-03,1.4,1.32,,-4.7330e-02,0.64
-1.8928e-03,1.48,1.32,,-4.7320e-02,0.7
-1.8924e-03,1.4,1.28,,-4.7310e-02,0.66
-1.8920e-03,1.4,1.28,,-4.7300e-02,0.66
-1.8916e-03,1.44,1.28,,-4.7290e-02,0.64
-1.8912e-03,1.44,1.28,,-4.7280e-02,0.7
-1.8908e-03,1.36,1.28,,-4.7270e-02,0.66
-1.8904e-03,1.4,1.28,,-4.7260e-02,0.68
-1.8900e-03,1.48,1.28,,-4.7250e-02,0.68
-1.8896e-03,1.4,1.36,,-4.7240e-02,0.68
-1.8892e-03,1.4,1.28,,-4.7230e-02,0.68
-1.8888e-03,1.4,1.24,,-4.7220e-02,0.68
-1.8884e-03,1.4,1.2,,-4.7210e-02,0.66
-1.8880e-03,1.48,1.28,,-4.7200e-02,0.66
-1.8876e-03,1.36,1.32,,-4.7190e-02,0.68
-1.8872e-03,1.44,1.28,,-4.7180e-02,0.7
-1.8868e-03,1.36,1.36,,-4.7170e-02,0.7
-1.8864e-03,1.4,1.28,,-4.7160e-02,0.7
-1.8860e-03,1.52,1.24,,-4.7150e-02,0.68
-1.8856e-03,1.44,1.28,,-4.7140e-02,0.68
-1.8852e-03,1.48,1.28,,-4.7130e-02,0.68
-1.8848e-03,1.44,1.32,,-4.7120e-02,0.7
-1.8844e-03,1.44,1.28,,-4.7110e-02,0.64
-1.8840e-03,1.36,1.24,,-4.7100e-02,0.68
-1.8836e-03,1.4,1.24,,-4.7090e-02,0.66
-1.8832e-03,1.4,1.24,,-4.7080e-02,0.66
-1.8828e-03,1.4,1.24,,-4.7070e-02,0.68
-1.8824e-03,1.4,1.28,,-4.7060e-02,0.7
-1.8820e-03,1.4,1.28,,-4.7050e-02,0.7
-1.8816e-03,1.4,1.32,,-4.7040e-02,0.64
-1.8812e-03,1.44,1.28,,-4.7030e-02,0.72
-1.8808e-03,1.44,1.28,,-4.7020e-02,0.7
-1.8804e-03,1.36,1.28,,-4.7010e-02,0.68
-1.8800e-03,1.4,1.36,,-4.7000e-02,0.7
-1.8796e-03,1.44,1.28,,-4.6990e-02,0.7
-1.8792e-03,1.44,1.28,,-4.6980e-02,0.7
-1.8788e-03,1.44,1.24,,-4.6970e-02,0.68
-1.8784e-03,1.44,1.24,,-4.6960e-02,0.68
-1.8780e-03,1.36,1.28,,-4.6950e-02,0.68
-1.8776e-03,1.36,1.24,,-4.6940e-02,0.7
-1.8772e-03,1.4,1.24,,-4.6930e-02,0.7
-1.8768e-03,1.44,1.28,,-4.6920e-02,0.68
-1.8764e-03,1.4,1.24,,-4.6910e-02,0.7
-1.8760e-03,1.4,1.32,,-4.6900e-02,0.66
-1.8756e-03,1.44,1.28,,-4.6890e-02,0.66
-1.8752e-03,1.48,1.32,,-4.6880e-02,0.7
-1.8748e-03,1.48,1.28,,-4.6870e-02,0.66
-1.8744e-03,1.44,1.24,,-4.6860e-02,0.66
-1.8740e-03,1.32,1.24,,-4.6850e-02,0.68
-1.8736e-03,1.32,1.16,,-4.6840e-02,0.64
-1.8732e-03,1.44,1.32,,-4.6830e-02,0.66
-1.8728e-03,1.4,1.36,,-4.6820e-02,0.68
-1.8724e-03,1.4,1.32,,-4.6810e-02,0.68
-1.8720e-03,1.4,1.24,,-4.6800e-02,0.68
-1.8716e-03,1.32,1.24,,-4.6790e-02,0.68
-1.8712e-03,1.4,1.28,,-4.6780e-02,0.7
-1.8708e-03,1.4,1.32,,-4.6770e-02,0.68
-1.8704e-03,1.44,1.32,,-4.6760e-02,0.66
-1.8700e-03,1.36,1.28,,-4.6750e-02,0.66
-1.8696e-03,1.44,1.28,,-4.6740e-02,0.66
-1.8692e-03,1.4,1.32,,-4.6730e-02,0.7
-1.8688e-03,1.44,1.28,,-4.6720e-02,0.66
-1.8684e-03,1.36,1.28,,-4.6710e-02,0.66
-1.8680e-03,1.4,1.28,,-4.6700e-02,0.7
-1.8676e-03,1.48,1.28,,-4.6690e-02,0.7
-1.8672e-03,1.4,1.24,,-4.6680e-02,0.7
-1.8668e-03,1.4,1.24,,-4.6670e-02,0.68
-1.8664e-03,1.48,1.32,,-4.6660e-02,0.66
-1.8660e-03,1.4,1.28,,-4.6650e-02,0.68
-1.8656e-03,1.44,1.28,,-4.6640e-02,0.68
-1.8652e-03,1.44,1.36,,-4.6630e-02,0.68
-1.8648e-03,1.4,1.24,,-4.6620e-02,0.72
-1.8644e-03,1.4,1.32,,-4.6610e-02,0.68
-1.8640e-03,1.36,1.28,,-4.6600e-02,0.66
-1.8636e-03,1.4,1.32,,-4.6590e-02,0.68
-1.8632e-03,1.36,1.28,,-4.6580e-02,0.68
-1.8628e-03,1.4,1.24,,-4.6570e-02,0.68
-1.8624e-03,1.44,1.2,,-4.6560e-02,0.66
-1.8620e-03,1.36,1.28,,-4.6550e-02,0.66
-1.8616e-03,1.44,1.24,,-4.6540e-02,0.7
-1.8612e-03,1.4,1.36,,-4.6530e-02,0.66
-1.8608e-03,1.4,1.32,,-4.6520e-02,0.68
-1.8604e-03,1.4,1.32,,-4.6510e-02,0.7
-1.8600e-03,1.44,1.28,,-4.6500e-02,0.68
-1.8596e-03,1.44,1.28,,-4.6490e-02,0.68
-1.8592e-03,1.4,1.24,,-4.6480e-02,0.7
-1.8588e-03,1.32,1.28,,-4.6470e-02,0.64
-1.8584e-03,1.28,1.28,,-4.6460e-02,0.68
-1.8580e-03,1.4,1.28,,-4.6450e-02,0.64
-1.8576e-03,1.36,1.24,,-4.6440e-02,0.7
-1.8572e-03,1.4,1.24,,-4.6430e-02,0.68
-1.8568e-03,1.36,1.2,,-4.6420e-02,0.7
-1.8564e-03,1.44,1.2,,-4.6410e-02,0.66
-1.8560e-03,1.4,1.24,,-4.6400e-02,0.66
-1.8556e-03,1.36,1.32,,-4.6390e-02,0.7
-1.8552e-03,1.36,1.28,,-4.6380e-02,0.66
-1.8548e-03,1.36,1.36,,-4.6370e-02,0.66
-1.8544e-03,1.44,1.28,,-4.6360e-02,0.66
-1.8540e-03,1.4,1.36,,-4.6350e-02,0.66
-1.8536e-03,1.4,1.28,,-4.6340e-02,0.7
-1.8532e-03,1.32,1.24,,-4.6330e-02,0.68
-1.8528e-03,1.48,1.2,,-4.6320e-02,0.68
-1.8524e-03,1.44,1.28,,-4.6310e-02,0.68
-1.8520e-03,1.36,1.28,,-4.6300e-02,0.68
-1.8516e-03,1.44,1.32,,-4.6290e-02,0.66
-1.8512e-03,1.4,1.32,,-4.6280e-02,0.68
-1.8508e-03,1.4,1.32,,-4.6270e-02,0.68
-1.8504e-03,1.32,1.32,,-4.6260e-02,0.72
-1.8500e-03,1.4,1.28,,-4.6250e-02,0.72
-1.8496e-03,1.4,1.28,,-4.6240e-02,0.68
-1.8492e-03,1.4,1.32,,-4.6230e-02,0.68
-1.8488e-03,1.36,1.24,,-4.6220e-02,0.68
-1.8484e-03,1.36,1.32,,-4.6210e-02,0.68
-1.8480e-03,1.36,1.28,,-4.6200e-02,0.68
-1.8476e-03,1.44,1.28,,-4.6190e-02,0.7
-1.8472e-03,1.44,1.32,,-4.6180e-02,0.66
-1.8468e-03,1.48,1.24,,-4.6170e-02,0.7
-1.8464e-03,1.44,1.28,,-4.6160e-02,0.64
-1.8460e-03,1.4,1.28,,-4.6150e-02,0.7
-1.8456e-03,1.4,1.28,,-4.6140e-02,0.64
-1.8452e-03,1.4,1.32,,-4.6130e-02,0.68
-1.8448e-03,1.44,1.28,,-4.6120e-02,0.66
-1.8444e-03,1.4,1.32,,-4.6110e-02,0.68
-1.8440e-03,1.32,1.28,,-4.6100e-02,0.66
-1.8436e-03,1.32,1.24,,-4.6090e-02,0.66
-1.8432e-03,1.36,1.28,,-4.6080e-02,0.7
-1.8428e-03,1.4,1.28,,-4.6070e-02,0.68
-1.8424e-03,1.4,1.24,,-4.6060e-02,0.68
-1.8420e-03,1.44,1.28,,-4.6050e-02,0.7
-1.8416e-03,1.48,1.24,,-4.6040e-02,0.66
-1.8412e-03,1.44,1.32,,-4.6030e-02,0.64
-1.8408e-03,1.44,1.32,,-4.6020e-02,0.7
-1.8404e-03,1.4,1.28,,-4.6010e-02,0.66
-1.8400e-03,1.4,1.32,,-4.6000e-02,0.66
-1.8396e-03,1.36,1.32,,-4.5990e-02,0.66
-1.8392e-03,1.32,1.32,,-4.5980e-02,0.66
